,model,task,log_probs,example
0,slm,replace_bass_notes,-0.495045930147171,0
1,slm,replace_bass_notes,0.0,1
2,slm,replace_bass_notes,-0.20460297167301178,2
3,slm,replace_bass_notes,-0.16533654928207397,3
4,slm,replace_bass_notes,-0.24412690103054047,4
5,slm,replace_bass_notes,-0.13505637645721436,5
6,slm,replace_bass_notes,0.0,6
7,slm,replace_bass_notes,-0.12236685305833817,7
8,slm,replace_bass_notes,0.0,8
9,slm,replace_bass_notes,-0.04306090250611305,9
10,slm,replace_bass_notes,-0.15499098598957062,10
11,slm,replace_bass_notes,-0.30010759830474854,11
12,slm,replace_bass_notes,-0.16378715634346008,12
13,slm,replace_bass_notes,-0.24704089760780334,13
14,slm,replace_bass_notes,-0.5441716313362122,14
15,slm,replace_bass_notes,-0.20566917955875397,15
16,slm,replace_bass_notes,0.0,16
17,slm,replace_bass_notes,-0.1432386040687561,17
18,slm,replace_bass_notes,-0.018266726285219193,18
19,slm,replace_bass_notes,-0.0656077042222023,19
20,slm,replace_bass_notes,0.0,20
21,slm,replace_bass_notes,-0.06448303908109665,21
22,slm,replace_bass_notes,-0.086998350918293,22
23,slm,replace_bass_notes,-0.017094234004616737,23
24,slm,replace_bass_notes,-0.11307258158922195,24
25,slm,replace_bass_notes,-0.2066780924797058,25
26,slm,replace_bass_notes,-0.030071211978793144,26
27,slm,replace_bass_notes,0.0,27
28,slm,replace_bass_notes,-0.0849364623427391,28
29,slm,replace_bass_notes,-0.0464702770113945,29
30,slm,replace_bass_notes,0.0,30
31,slm,replace_bass_notes,0.0,31
32,slm,replace_bass_notes,-0.029797280207276344,32
33,slm,replace_bass_notes,-0.1265525221824646,33
34,slm,replace_bass_notes,-0.1425236314535141,34
35,slm,replace_bass_notes,0.0,35
36,slm,replace_bass_notes,-0.017954673618078232,36
37,slm,replace_bass_notes,-0.1703534573316574,37
38,slm,replace_bass_notes,-0.19713616371154785,38
39,slm,replace_bass_notes,0.0,39
40,slm,replace_bass_notes,-0.13640859723091125,40
41,slm,replace_bass_notes,0.0,41
42,slm,replace_bass_notes,-0.03869021683931351,42
43,slm,replace_bass_notes,-0.13544179499149323,43
44,slm,replace_bass_notes,-0.19706596434116364,44
45,slm,replace_bass_notes,0.0,45
46,slm,replace_bass_notes,-0.09136973321437836,46
47,slm,replace_bass_notes,-0.09382496774196625,47
48,slm,replace_bass_notes,0.0,48
49,slm,replace_bass_notes,-0.15334010124206543,49
50,slm,replace_pitches,-0.17539510130882263,0
51,slm,replace_pitches,-0.21095703542232513,1
52,slm,replace_pitches,-0.29915815591812134,2
53,slm,replace_pitches,-0.3576975166797638,3
54,slm,replace_pitches,-0.34697985649108887,4
55,slm,replace_pitches,-0.34052717685699463,5
56,slm,replace_pitches,-0.08295523375272751,6
57,slm,replace_pitches,-0.18011212348937988,7
58,slm,replace_pitches,-0.08758149296045303,8
59,slm,replace_pitches,-0.06641346216201782,9
60,slm,replace_pitches,-0.29477357864379883,10
61,slm,replace_pitches,-0.38754016160964966,11
62,slm,replace_pitches,-0.3755255341529846,12
63,slm,replace_pitches,-0.16056808829307556,13
64,slm,replace_pitches,-0.2659972608089447,14
65,slm,replace_pitches,-0.29356032609939575,15
66,slm,replace_pitches,-0.13600550591945648,16
67,slm,replace_pitches,-0.3412940502166748,17
68,slm,replace_pitches,-0.2081001251935959,18
69,slm,replace_pitches,-0.07910719513893127,19
70,slm,replace_pitches,-0.2116887867450714,20
71,slm,replace_pitches,-0.20900100469589233,21
72,slm,replace_pitches,-0.31304728984832764,22
73,slm,replace_pitches,-0.1287803202867508,23
74,slm,replace_pitches,-0.358521968126297,24
75,slm,replace_pitches,-0.1852104663848877,25
76,slm,replace_pitches,-0.10222971439361572,26
77,slm,replace_pitches,-0.12792515754699707,27
78,slm,replace_pitches,-0.3285980522632599,28
79,slm,replace_pitches,-0.09730590879917145,29
80,slm,replace_pitches,-0.20816609263420105,30
81,slm,replace_pitches,-0.23695145547389984,31
82,slm,replace_pitches,-0.14539304375648499,32
83,slm,replace_pitches,-0.2264847606420517,33
84,slm,replace_pitches,-0.4680565893650055,34
85,slm,replace_pitches,-0.2431737333536148,35
86,slm,replace_pitches,-0.2720502018928528,36
87,slm,replace_pitches,-0.3043819069862366,37
88,slm,replace_pitches,-0.29216840863227844,38
89,slm,replace_pitches,-0.08944553881883621,39
90,slm,replace_pitches,-0.49708321690559387,40
91,slm,replace_pitches,-0.29458120465278625,41
92,slm,replace_pitches,-0.15619425475597382,42
93,slm,replace_pitches,-0.31003695726394653,43
94,slm,replace_pitches,-0.17758890986442566,44
95,slm,replace_pitches,-0.10127413272857666,45
96,slm,replace_pitches,-0.29670676589012146,46
97,slm,replace_pitches,-0.22150403261184692,47
98,slm,replace_pitches,-0.21239067614078522,48
99,slm,replace_pitches,-0.24248448014259338,49
100,slm,replace_pitches_given_pitch_set,-0.1934375762939453,0
101,slm,replace_pitches_given_pitch_set,-0.15380807220935822,1
102,slm,replace_pitches_given_pitch_set,-0.3327840566635132,2
103,slm,replace_pitches_given_pitch_set,-0.5583905577659607,3
104,slm,replace_pitches_given_pitch_set,-0.3530358374118805,4
105,slm,replace_pitches_given_pitch_set,-0.36874234676361084,5
106,slm,replace_pitches_given_pitch_set,-0.09326396882534027,6
107,slm,replace_pitches_given_pitch_set,-0.20879773795604706,7
108,slm,replace_pitches_given_pitch_set,-0.1300261914730072,8
109,slm,replace_pitches_given_pitch_set,-0.06921353191137314,9
110,slm,replace_pitches_given_pitch_set,-0.42147600650787354,10
111,slm,replace_pitches_given_pitch_set,-0.288061261177063,11
112,slm,replace_pitches_given_pitch_set,-0.30301907658576965,12
113,slm,replace_pitches_given_pitch_set,-0.16602064669132233,13
114,slm,replace_pitches_given_pitch_set,-0.2910328805446625,14
115,slm,replace_pitches_given_pitch_set,-0.24518173933029175,15
116,slm,replace_pitches_given_pitch_set,-0.1326252967119217,16
117,slm,replace_pitches_given_pitch_set,-0.23580960929393768,17
118,slm,replace_pitches_given_pitch_set,-0.26621127128601074,18
119,slm,replace_pitches_given_pitch_set,-0.1005348488688469,19
120,slm,replace_pitches_given_pitch_set,-0.28932884335517883,20
121,slm,replace_pitches_given_pitch_set,-0.25407886505126953,21
122,slm,replace_pitches_given_pitch_set,-0.2522011995315552,22
123,slm,replace_pitches_given_pitch_set,-0.09500440955162048,23
